city_query,city,latitude,longitude
"Grand Rapids, MI",Grand Rapids,42.9632425,-85.6678639
"Cascade, MI",Cascade,42.9121592,-85.497926
"Caledonia, MI",Caledonia,42.7891193,-85.5163391
"East Grand Rapids, MI",East Grand Rapids,42.9412024,-85.6097309
"Wyoming, MI",Wyoming,42.9132581,-85.7057035
"Gowen, MI",Gowen,43.2516973,-85.30197
"Sparta, MI",Sparta,43.160858,-85.710039
"Rockford, MI",Rockford,43.119721,-85.559604
