collection_method,attractant_used,collection_location_id,uid_arbovirus_submission,nearest_street_address,city,state,county,collection_site_type,trap_set_date,trap_set_time_of_day,trap_pickup_date,trap_pickup_time_of_day,trap_set_year,trap_set_month,season,genus,species,species_binomial,females_collected,males_collected,adults_unknown_sex_collected,total_adults_collected,detected_raw,detected_normalized,missing_taxon,staff_person,notes
CDC Light Trap,Dry Ice,Saul Lake Bog,21-081-0232,10471 6 Mile Road,Rockford,MI,Kent,County Park,2021-08-05,Morning,2021-08-06,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,141,27,0,168,ND,not_detected,False,Barbara Brown,
CDC Light Trap,Dry Ice,Saul Lake Bog,21-081-0233,10471 6 Mile Road,Rockford,MI,Kent,County Park,2021-08-05,Morning,2021-08-06,Morning,2021,8,summer,Anopheles,sp.,Anopheles sp.,31,27,0,58,ND,not_detected,False,Barbara Brown,
CDC Light Trap,Dry Ice,Spencer Township,21-081-0250,14960 Meddler Ave NE,Gowen,MI,Kent,County Park,2021-08-05,Morning,2021-08-06,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,61,7,0,68,ND,not_detected,False,Barbara Brown,
CDC Light Trap,Dry Ice,Spencer Township,21-081-0251,14960 Meddler Ave NE,Gowen,MI,Kent,County Park,2021-08-05,Morning,2021-08-06,Morning,2021,8,summer,Anopheles,sp.,Anopheles sp.,4,7,0,11,ND,not_detected,False,Barbara Brown,
CDC Light Trap,Dry Ice,Cooper Creek,,13807 17 Mile Road,Gowen,MI,Kent,County Park,2021-08-07,Morning,2021-08-06,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,Trap not set
BGS Trap,Lure,Blandford Nature Center,,1715 Hillburn Ave. NW,Grand Rapids,MI,Kent,Nature Center,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0234,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,97,0,0,97,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0235,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,10,0,0,10,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0236,2615 Hall St. SE,Grand Rapids,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,27,0,0,27,Positive,positive,False,Barbara Brown,WNV
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0237,463 N. Kippen Dr. SE,Grand Rapids,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,100,0,0,100,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0238,463 N. Kippen Dr. SE,Grand Rapids,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0241,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,2,0,0,2,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0242,4409 Willow Dr. NE,Grand Rapids,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,4,0,0,4,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0245,4270 Hunsberger Ave. NE,Grand Rapids,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,110,0,0,110,Positive,positive,False,Barbara Brown,WNV
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0246,4270 Hunsberger Ave. NE,Grand Rapids,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,,1638 Diamond Ct. NE,Grand Rapids,MI,Kent,Residential,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
BGS Trap,Lure,Tiremaxx,21-081-0239,8035 Division Ave. S,Grand Rapids,MI,Kent,Business,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,1,1,0,2,ND,not_detected,False,Barbara Brown,
BGS Trap,Lure,Tiremaxx,21-081-0240,8035 Division Ave. S,Grand Rapids,MI,Kent,Business,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,24,0,0,24,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 2,21-081-0243,4101 Lake Michigan Dr. NW,Grand Rapids,MI,Kent,Business,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 2,21-081-0244,4101 Lake Michigan Dr. NW,Grand Rapids,MI,Kent,Business,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,4,0,0,4,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 3,21-081-0247,1470 3 Mile Rd. NW,Grand Rapids,MI,Kent,Business,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,120,0,0,120,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 3,21-081-0248,1470 3 Mile Rd. NW,Grand Rapids,MI,Kent,Business,2021-08-09,Morning,2021-08-11,Morning,2021,8,summer,Culex,sp.,Culex sp.,7,0,0,7,ND,not_detected,False,Barbara Brown,
BGS Trap,Lure,Blandford Nature Center,21-081-0269,1715 Hillburn Ave. NW,Grand Rapids,MI,Kent,Nature Center,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,5,0,0,5,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0270,4270 Hunsberger Ave. NE,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Culex,sp.,Culex sp.,5,0,0,5,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0271,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Culex,sp.,Culex sp.,62,0,0,62,Positive,positive,False,Barbara Brown,WNV
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0272,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,7,0,0,7,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0273,463 N. Kippen Dr. SE,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Culex,sp.,Culex sp.,11,0,0,11,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0274,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Culex,sp.,Culex sp.,96,7,0,103,Positive,positive,False,Barbara Brown,WNV
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0275,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,7,0,0,7,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0277,2615 Hall St. SE,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Culex,sp.,Culex sp.,13,0,0,13,Positive,positive,False,Barbara Brown,WNV
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0278,2615 Hall St. SE,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Anopheles,sp.,Anopheles sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,4409 Willow Dr. NE,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,1638 Diamond Ct. NE,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,2615 Hall St. SE,Grand Rapids,MI,Kent,Residential,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
BGS Trap,Lure,Tiremaxx,21-081-0276,8035 Division Ave. S,Grand Rapids,MI,Kent,Business,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,2,0,0,2,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 2,,4101 Lake Michigan Dr. NW,Grand Rapids,MI,Kent,Business,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 3,,1470 3 Mile Rd. NW,Grand Rapids,MI,Kent,Business,2021-08-16,Morning,2021-08-18,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0287,4409 Willow Dr. NE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Culex,sp.,Culex sp.,2,0,0,2,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0288,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Culex,sp.,Culex sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0289,463 N. Kippen Dr. SE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Culex,sp.,Culex sp.,6,0,0,6,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0290,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Culex,sp.,Culex sp.,6,1,0,7,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0291,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,5,1,0,6,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0292,2615 Hall St. SE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Culex,sp.,Culex sp.,35,0,0,35,Positive,positive,False,Barbara Brown,WNV
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0293,4270 Hunsberger Ave. NE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Culex,sp.,Culex sp.,16,0,0,16,Positive,positive,False,Barbara Brown,WNV
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0294,4270 Hunsberger Ave. NE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,4,0,0,4,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0308,2615 Hall St. SE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,Culex,sp.,Culex sp.,12,0,0,12,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0311,4270 Hunsberger Ave. NE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,Culex,sp.,Culex sp.,15,0,0,15,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0312,4270 Hunsberger Ave. NE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0313,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,Culex,sp.,Culex sp.,8,2,0,10,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0314,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,8,2,0,10,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,1638 Diamond Ct. NE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,463 N. Kippen Dr. SE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,4409 Willow Dr. NE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,1638 Diamond Ct. NE,Grand Rapids,MI,Kent,Residential,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 2,21-081-0309,4101 Lake Michigan Dr. NW,Grand Rapids,MI,Kent,Business,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,Culex,sp.,Culex sp.,4,0,0,4,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 2,21-081-0310,4101 Lake Michigan Dr. NW,Grand Rapids,MI,Kent,Business,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 2,,4101 Lake Michigan Dr. NW,Grand Rapids,MI,Kent,Business,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 3,21-081-0295,1470 3 Mile Rd. NW,Grand Rapids,MI,Kent,Business,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Culex,sp.,Culex sp.,17,0,0,17,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 3,21-081-0296,1470 3 Mile Rd. NW,Grand Rapids,MI,Kent,Business,2021-08-23,Morning,2021-08-25,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,25,0,0,25,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 3,21-081-0315,1470 3 Mile Rd. NW,Grand Rapids,MI,Kent,Business,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,Culex,sp.,Culex sp.,32,0,0,32,Positive,positive,False,Barbara Brown,WNV
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 3,21-081-0316,1470 3 Mile Rd. NW,Grand Rapids,MI,Kent,Business,2021-08-23,Morning,2021-09-02,Morning,2021,8,summer,Aedes,sp.,Aedes sp.,24,0,0,24,Positive,positive,False,Barbara Brown,WNV
BGS Trap,,Private Home,,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-08-30,Morning,2021-09-01,Morning,2021,8,summer,,,,0,0,0,0,,,True,Barbara Brown,Trap not set- broken
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0330,4409 Willow Dr. NE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Culex,sp.,Culex sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0331,4409 Willow Dr. NE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Aedes,sp.,Aedes sp.,3,0,0,3,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0332,4270 Hunsberger Ave. NE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Culex,sp.,Culex sp.,1,0,0,1,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0333,2615 Hall St. SE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Culex,sp.,Culex sp.,2,1,0,3,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0334,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Aedes,sp.,Aedes sp.,3,3,0,6,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0335,4854 N. Plateau Ct. SW,Wyoming,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Culex,sp.,Culex sp.,4,3,0,7,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0336,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Anopheles,sp.,Anopheles sp.,2,5,0,7,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0337,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Aedes,sp.,Aedes sp.,20,5,0,25,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0338,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Culex,sp.,Culex sp.,11,5,0,16,Positive,positive,False,Barbara Brown,WNV
Gravid Trap,Hay or Grass Infusion,Private Home,21-081-0339,2350 Blaine Ave. SE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,Culiseta,sp.,Culiseta sp.,1,5,0,6,ND,not_detected,False,Barbara Brown,
Gravid Trap,Hay or Grass Infusion,Private Home,,39 Valley Ave. NW,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,463 N. Kippen Dr. SE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Private Home,,1638 Diamond Ct. NE,Grand Rapids,MI,Kent,Residential,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 2,,4101 Lake Michigan Dr. NW,Grand Rapids,MI,Kent,Business,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
Gravid Trap,Hay or Grass Infusion,Walker Fire Station 3,,1470 3 Mile Rd. NW,Grand Rapids,MI,Kent,Business,2021-09-07,Morning,2021-09-09,Morning,2021,9,fall,,,,0,0,0,0,,,True,Barbara Brown,No Species Found
